city;10;50;100;300;500;750;1000;1250;1500;2000;3000
belgorod;220;250;300;350;450;550;700;800;900;1400;2500
volgograd;220;250;300;350;450;550;700;800;900;1400;2500
vrn;220;250;300;350;450;550;700;800;900;1400;2500
ekat;220;250;300;350;450;550;700;800;900;1400;2500
krasnodar;220;250;300;350;450;550;700;800;900;1400;2500
kursk;220;250;300;350;450;550;700;800;900;1400;2500
lipetsk;220;250;300;350;450;550;700;800;900;1400;2500
moscow;300;450;600;750;1000;1150;1300;1500;1700;2400;3000
murmansk;220;250;300;350;450;550;700;800;900;1400;2500
nn;220;250;300;350;450;550;700;800;900;1400;2500
novosib;220;250;300;350;450;550;700;800;900;1400;2500
orenburg;220;250;300;350;450;550;700;800;900;1400;2500
orsk;220;250;300;350;450;550;700;800;900;1400;2500
perm;220;250;300;350;450;550;700;800;900;1400;2500
rnd;220;250;300;350;450;550;700;800;900;1400;2500
samara;220;250;300;350;450;550;700;800;900;1400;2500
spb;300;380;500;700;900;1000;1150;1300;1550;2100;2800
saratov;220;250;300;350;450;550;700;800;900;1400;2500
toljatti;220;250;300;350;450;550;700;800;900;1400;2500
tumen;220;250;300;350;450;550;700;800;900;1400;2500
chelyabinsk;220;250;300;350;450;550;700;800;900;1400;2500
engels;220;250;300;350;450;550;700;800;900;1400;2500
